211101,464405
211102,330967
211103,800266
211104,573209
211105,679709
211106,920965
211107,766471
211108,646498
211109,183628
211110,394700
211111,520578
211112,486939
211113,812279
211114,577980
211115,413338
211116,666656
211117,238480
211118,429648
211119,422350
211120,568613
211121,338860
211122,220316
211123,406983
211124,516836
211125,233862
211201,511524
211202,532004
211203,283003
211204,488560
211205,993357
211206,887397
211207,213703
211208,914195
211209,304017
211210,899978
211211,872727
211212,104256
211213,719068
211214,238241
211215,942080
211216,948670
211217,678789
211218,514497
211219,664303
211220,471020
211221,111911
211222,239363
211223,993110
211224,386530
211225,908088
211301,283764
211302,901581
211303,724979
211304,249835
211305,217765
211306,601227
211307,603933
211308,665392
211309,669830
211310,430928
211311,305294
211312,619229
211313,455434
211314,293342
211315,271979
211316,717274
211317,633190
211318,624292
211319,188822
211320,801478
211321,623639
211322,636046
211323,393055
211324,582526
211325,917548
211401,247478
211402,175134
211403,914028
211404,406630
211405,214299
211406,477043
211407,267467
211408,373269
211409,287628
211410,872573
211411,744318
211412,330060
211413,623569
211414,132984
211415,284969
211416,433956
211417,438879
211418,377806
211419,575594
211420,928074
211421,390415
211422,844288
211423,404642
211424,962718
211425,979755
211501,262286
211502,294960
211503,150283
211504,539406
211505,863539
211506,995668
211507,704932
211508,673985
211509,213890
211510,984601
211511,526104
211512,997282
211513,513888
211514,151262
211515,437568
211516,435238
211517,491585
211518,513621
211519,406177
211520,927944
211521,236056
211522,698916
211523,984811
211524,748328
211525,564325
211601,721841
211602,638805
211603,488883
211604,194464
211605,267815
211606,847841
211607,855554
211608,397597
211609,959335
211610,366244
211611,795761
211612,943633
211613,388007
211614,627335
211615,409867
211616,856345
211617,233689
211618,170405
211619,252125
211620,214611
211621,239174
211622,108143
211623,942311
211624,694632
211625,112318
211701,806816
211702,926149
211703,490182
211704,557462
211705,774112
211706,371509
211707,640440
211708,968618
211709,171467
211710,847769
211711,994614
211712,403563
211713,132863
211714,287658
211715,642601
211716,716929
211717,164078
211718,418345
211719,649254
211720,390470
211721,599592
211722,863666
211723,274483
211724,481947
211725,770513
211801,117508
211802,920560
211803,248480
211804,820008
211805,872921
211806,232188
211807,950916
211808,456283
211809,633806
211810,270262
211811,483919
211812,659122
211813,808252
211814,587054
211815,908197
211816,165269
211817,162260
211818,110558
211819,725369
211820,192249
211821,224943
211822,978300
211823,114178
211824,570661
211825,453324
221101,295104
221102,134167
221103,400650
221104,981060
221105,103954
221106,456658
221107,351468
